Date,Surverse,d15min,d30min,d1h,d2h,d4h,d6h,d12h,d24h
2013-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-09,0,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
2013-05-10,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5
2013-05-11,1,1.5,2.75,4.5,7.25,10.5,11.25,12.25,12.5
2013-05-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,12.25
2013-05-13,0,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5
2013-05-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5
2013-05-15,0,1.25,1.75,2.25,3.75,4.25,4.25,4.25,4.25
2013-05-16,0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,4.25
2013-05-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-19,0,0.25,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2013-05-20,0,2.0,2.75,4.0,5.0,5.5,5.5,6.25,6.5
2013-05-21,0,1.5,1.75,2.25,2.75,3.25,3.25,3.25,5.5
2013-05-22,0,0.25,0.25,0.5,0.5,1.0,1.75,1.75,5.0
2013-05-23,0,5.25,6.75,9.25,9.25,9.25,9.75,9.75,12.25
2013-05-24,0,0.5,0.75,1.25,1.75,3.0,4.5,5.5,11.75
2013-05-25,0,1.0,1.25,1.75,2.75,4.0,5.0,8.75,10.0
2013-05-26,0,1.0,1.5,2.75,5.0,7.25,8.25,13.5,20.0
2013-05-27,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5
2013-05-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29,1,4.5,5.0,5.5,5.75,7.25,9.0,10.75,10.75
2013-05-30,0,0.0,0.0,0.0,0.0,1.5,1.5,10.5,10.75
2013-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0,9.75,10.75,12.25,12.25,12.25,12.25,12.25,12.25
2013-06-02,1,2.75,3.75,3.75,6.0,12.25,12.25,15.75,22.0
2013-06-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,9.75
2013-06-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,0,0.75,1.0,1.25,1.75,3.0,4.0,5.0,5.0
2013-06-07,0,0.75,1.5,2.5,3.25,4.0,5.5,9.25,12.25
2013-06-08,0,0.75,1.25,2.5,4.5,6.25,7.25,8.0,12.0
2013-06-09,0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,4.5
2013-06-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-11,1,1.5,2.75,5.0,8.75,15.75,19.75,30.5,39.25
2013-06-12,0,0.75,1.0,1.0,2.75,4.25,8.75,22.5,40.0
2013-06-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
2013-06-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-16,0,0.75,1.5,3.0,5.0,7.25,9.25,10.25,10.25
2013-06-17,0,0.75,1.0,1.0,1.0,1.0,1.0,9.75,11.25
2013-06-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-06-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-22,0,0.5,1.0,1.5,2.0,3.25,4.25,6.0,7.5
2013-06-23,0,0.25,0.25,0.25,0.75,1.0,1.25,5.25,7.75
2013-06-24,0,1.25,2.25,3.0,3.5,3.5,3.5,3.5,5.471153846153846
2013-06-25,0,0.5,0.5,0.5,0.5,0.5,1.971153846153846,1.971153846153846,5.471153846153846
2013-06-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2013-06-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,1,3.0,6.0,11.25,15.25,19.0,23.0,28.5,28.75
2013-06-29,0,0.25,0.5,1.0,1.0,1.0,1.0,7.25,29.75
2013-06-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25
2013-07-01,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2013-07-02,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5
2013-07-03,0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
2013-07-04,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2013-07-05,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5
2013-07-06,0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
2013-07-07,0,1.0,1.75,2.5,3.5,3.75,4.0,4.0,4.0
2013-07-08,0,0.0,0.0,1.0,2.75,3.75,4.0,4.0,4.0
2013-07-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-10,0,2.5,2.5,3.5,3.5,3.5,3.5,3.75,3.75
2013-07-11,0,0.0,0.0,0.0,0.0,3.5,3.5,3.75,3.75
2013-07-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-17,1,4.25,7.75,10.5,12.0,12.25,12.25,12.25,12.25
2013-07-18,0,0.0,0.0,0.0,0.0,0.25,1.0,12.25,12.25
2013-07-19,1,13.25,13.25,14.75,17.75,21.25,22.75,33.75,37.5
2013-07-20,0,4.25,7.0,7.0,7.0,7.0,7.0,22.75,37.5
2013-07-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2013-07-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-23,0,1.0,1.5,2.25,2.25,2.25,2.25,2.25,2.25
2013-07-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
2013-07-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-28,0,3.0,4.5,5.25,6.25,6.25,9.75,9.75,9.75
2013-07-29,0,1.5,1.75,1.75,1.75,3.5,3.5,9.75,12.0
2013-07-30,0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.25
2013-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0,3.25,5.5,7.0,7.75,7.75,7.75,8.0,8.0
2013-08-02,0,0.5,0.5,0.5,0.5,0.5,0.5,8.0,8.5
2013-08-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2013-08-04,0,5.5,5.75,5.75,5.75,6.25,6.25,7.0,7.0
2013-08-05,0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,7.0
2013-08-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-07,0,3.75,5.0,9.75,9.75,9.75,9.75,9.75,9.75
2013-08-08,0,0.5,0.5,0.5,0.5,9.75,9.75,10.25,10.25
2013-08-09,0,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
2013-08-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2013-08-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-13,1,21.5,30.75,34.5,35.0,35.0,35.0,35.0,44.5
2013-08-14,0,3.5,4.25,5.25,6.75,6.75,35.0,41.75,50.75
2013-08-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
2013-08-16,0,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5
2013-08-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5
2013-08-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-22,0,6.75,8.0,8.5,9.25,9.5,9.75,15.25,15.25
2013-08-23,0,0.0,0.0,0.0,0.0,0.25,1.0,9.75,15.25
2013-08-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-25,0,0.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75
2013-08-26,0,1.25,1.75,2.75,4.75,6.5,6.5,6.5,6.5
2013-08-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
2013-08-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-30,0,4.25,7.75,8.75,9.0,13.25,14.0,14.0,14.0
2013-08-31,0,0.0,0.0,0.0,0.75,5.0,9.75,14.0,14.0
2013-09-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-02,1,3.5,3.75,4.25,7.75,7.75,7.75,7.75,12.0
2013-09-03,0,0.0,0.0,0.0,0.0,3.5,7.75,7.75,12.0
2013-09-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-10,0,0.75,1.25,1.25,1.5,2.0,2.5,2.5,2.75
2013-09-11,0,0.75,1.0,1.25,1.5,1.5,1.5,1.75,4.25
2013-09-12,1,4.75,7.5,10.0,11.75,14.25,20.5,33.25,33.25
2013-09-13,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,33.25
2013-09-14,0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
2013-09-15,0,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
2013-09-16,0,1.5,2.75,3.5,5.5,6.75,7.75,8.25,8.25
2013-09-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
2013-09-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-21,0,1.25,2.25,3.75,6.0,9.5,9.75,9.75,9.75
2013-09-22,0,1.0,1.5,2.75,5.5,9.5,11.75,16.75,17.75
2013-09-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
2013-09-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-06,0,1.25,2.0,2.75,4.5,5.25,5.25,5.25,5.25
2013-10-07,1,2.5,3.25,5.0,8.5,14.0,14.09375,14.09375,14.34375
2013-10-08,0,0.0,0.0,0.0,0.0,0.0,0.25,14.09375,14.09375
2013-10-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-14,0,1.25,1.5,2.0,3.0,3.5,3.75,3.75,3.75
2013-10-15,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
2013-10-16,0,0.5,0.75,1.25,1.75,1.75,1.75,1.75,1.75
2013-10-17,1,2.5,4.5,7.75,9.75,11.25,11.5,13.25,13.25
2013-10-18,0,1.5,2.75,3.25,3.8214285714285716,4.821428571428571,4.821428571428571,4.821428571428571,11.5
2013-10-19,0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,5.571428571428571
2013-10-20,0,0.75,1.25,2.25,4.0,5.0,5.0,5.0,5.0
2013-10-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2013-10-22,0,1.0,1.25,1.75,2.0,2.25,2.25,2.25,2.25
2013-10-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
2013-10-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-26,0,0.5,0.75,1.0,1.25,2.25,2.5,4.25,4.75
2013-10-27,0,0.25,0.25,0.25,0.25,0.75,2.0,3.75,5.0
2013-10-28,0,0.25,0.5,0.75,1.25,1.25,1.25,1.25,1.25
2013-10-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
2013-10-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-31,0,1.5,2.0,3.0,6.0,9.5,11.75,17.25,17.25
2014-05-01,1,1.25,1.75,3.25,5.5,6.5,8.25,17.0,28.25
2014-05-02,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,11.0
2014-05-03,0,1.0,1.25,1.25,1.25,1.25,1.25,1.25,1.25
2014-05-04,0,1.0,2.0,3.75,5.5,7.75,11.25,13.75,18.25
2014-05-05,0,0.25,0.25,0.25,0.25,0.5,3.25,5.5,18.25
2014-05-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2014-05-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-09,0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
2014-05-10,1,2.25,2.5,3.8532608695652173,5.469927536231884,8.219927536231884,9.969927536231884,9.969927536231884,9.969927536231884
2014-05-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.719927536231884
2014-05-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-14,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2014-05-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2014-05-16,0,2.0,2.75,3.25,5.0,7.5,10.5,16.0,16.0
2014-05-17,1,3.25,5.25,8.0,14.25,26.25,30.25,39.0,43.5
2014-05-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25
2014-05-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,0,1.0,1.75,2.0,2.0,2.5,2.5,2.5,2.5
2014-05-23,0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5
2014-05-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2014-05-26,0,1.25,1.75,2.75,3.0,3.5,3.5,3.5,3.5
2014-05-27,1,1.75,3.0,5.25,8.25,9.25,13.0,16.75,21.75
2014-05-28,0,0.25,0.25,0.5,1.0,1.0,1.0,5.5,17.25
2014-05-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-05-30,0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2014-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2014-06-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-03,1,6.75,12.0,15.75,20.5,22.5,22.5,22.5,22.75
2014-06-04,0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.75
2014-06-05,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2014-06-06,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
2014-06-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,0,0.5,0.75,1.0,1.0,1.5,1.5,1.5,1.5
2014-06-12,1,2.5,4.75,7.0,10.25,15.25,19.75,23.25,31.828125
2014-06-13,1,2.0,3.25,6.0,10.5,17.0,17.75,24.25,30.828125
2014-06-14,1,5.0,8.25,9.25,9.25,9.25,9.25,14.75,30.25
2014-06-15,0,0.0,0.0,0.0,0.0,0.0,9.25,9.25,12.25
